iter	Logloss
0	0.6367557821
1	0.576537763
22	0.519573757533	0.492410548344	0.468455579
5	0.4491537954
6	0.4244198893
7	0.4037529019
8	0.3876580443
9	0.3775916935
10	0.3641313762
11	0.3526689169
12	0.3442227102
13	0.3337974036
14	0.3239070969
15	0.3145423326
16	0.3066969597
17	0.2991360607118	0.2878550494119	0.2779272409220	0.2696661107221	0.2621910519222	0.2571700153
23	0.2514959068
24	0.2496330609
25	0.2388715586226	0.231984716327	0.2291685397
228	0.2223454387229	0.2168580613330	0.213433834331	0.2101785494332	0.2068799284333	0.1998988266
34	0.1949128115
35	0.1889995401
36	0.1845119207
37	0.1803939629
38	0.1769288882
39	0.1734832352
40	0.1687733346
41	0.1639460647
42	0.1593710713
43	0.1547875147
44	0.1520560174
45	0.1467425398
46	0.1433564499
47	0.1395946519
48	0.1357218952
49	0.1313511544
